Family Sheep Staple D1 D2 D3 D4 D5 D6 D7 D8 D9 D10
L+ "72E4094" 1 19.75 18.63 17.86 16.70 17.35 18.60 19.34 19.63 20.33 20.31
L+ "72E4094" 2 18.46 18.14 17.23 16.77 18.34 19.22 19.77 20.39 20.52 20.43
L+ "72E4327" 1 19.35 18.36 17.72 18.72 19.91 20.58 20.85 21.05 21.58 21.28
L+ "72E4327" 2 19.21 18.44 18.25 18.59 19.10 20.20 20.88 21.06 21.25 21.45
L+ "72E4383" 1 18.17 17.77 16.96 18.43 20.54 21.37 21.70 21.44 21.10 20.42
L+ "72E4383" 2 16.62 19.26 17.95 19.10 21.09 21.64 21.81 21.39 21.12 20.79
L+ "72E4635" 1 19.67 19.16 18.59 18.40 18.76 19.97 20.43 20.84 19.96 19.62
L+ "72E4635" 2 19.63 19.59 18.73 17.35 18.48 19.20 20.46 20.50 20.10 19.62
L+ "72E4710" 1 18.37 17.47 17.32 17.62 19.07 19.98 20.83 21.03 21.24 21.11
L+ "72E4710" 2 17.03 17.90 17.61 18.36 19.44 20.41 21.17 21.63 21.30 21.05
L- "72E4017" 1 23.77 23.23 22.23 22.22 23.60 25.91 27.00 26.96 26.92 27.40
L- "72E4017" 2 24.07 23.61 23.09 22.47 24.37 26.31 27.81 28.12 27.82 27.53
L- "72E4019" 1 20.22 20.23 20.05 19.60 19.44 20.40 20.72 20.87 21.33 21.68
L- "72E4019" 2 19.29 19.92 20.57 20.14 19.99 20.18 20.88 21.22 21.75 21.74
L- "72E4055" 1 22.32 23.06 22.67 22.09 22.88 23.68 24.56 24.26 24.39 23.96
L- "72E4055" 2 23.61 22.92 23.28 22.64 22.47 24.31 24.05 24.57 24.47 24.93
L- "72E4249" 1 24.31 23.09 21.67 20.57 22.27 23.74 24.17 23.99 23.89 24.18
L- "72E4249" 2 25.10 23.21 22.04 22.19 23.64 24.53 24.91 24.50 24.66 24.60
L- "72E4330" 1 21.45 21.82 20.36 19.47 19.97 21.46 22.11 22.40 22.76 23.16
L- "72E4330" 2 21.62 21.36 20.52 19.57 20.24 21.52 22.11 22.76 22.85 23.34
D+ "72E4110" 1 21.79 21.06 19.78 20.19 20.96 21.80 22.50 23.21 23.30 23.17
D+ "72E4110" 2 21.33 20.84 20.00 20.34 20.80 21.82 21.92 23.34 23.39 23.43
D+ "72E4587" 1 21.75 20.88 19.87 19.21 20.70 21.44 22.68 23.43 24.09 24.14
D+ "72E4587" 2 20.89 21.01 20.21 19.90 20.89 22.77 23.31 24.40 24.81 25.10
D+ "72E4305" 1 24.33 23.76 22.52 22.19 22.91 24.12 24.33 26.71 28.17 29.34
D+ "72E4305" 2 23.99 24.18 23.21 22.89 22.86 24.23 25.30 26.57 29.08 29.73
D+ "72E4638" 1 25.68 24.08 22.01 20.96 22.04 23.92 24.81 25.50 27.34 28.14
D+ "72E4638" 2 25.44 24.27 22.21 21.54 22.88 24.32 25.22 26.55 27.64 28.81
D+ "72E4707" 1 22.85 23.02 23.32 21.61 20.21 21.43 22.79 25.01 25.46 26.02
D+ "72E4707" 2 23.02 22.76 20.96 20.51 22.43 23.82 24.52 25.76 25.47 25.92
D- "72E4076" 1 15.71 15.85 15.74 15.02 15.22 16.23 16.47 16.83 17.55 17.94
D- "72E4076" 2 15.30 15.36 15.52 15.36 15.18 16.19 16.93 16.87 17.12 17.45
D- "72E4077" 1 16.01 15.54 15.22 14.87 15.49 16.85 17.19 17.71 18.06 17.78
D- "72E4077" 2 15.49 15.77 15.42 15.01 15.75 16.47 17.22 17.67 18.10 18.05
D- "72E4199" 1 15.64 14.94 15.47 15.20 15.10 16.46 16.69 17.20 16.79 17.07
D- "72E4199" 2 15.51 15.53 15.10 15.16 16.17 16.98 17.27 17.23 17.33 17.33
D- "72E4289" 1 15.46 15.13 14.81 14.10 13.54 13.89 13.41 13.42 13.42 13.57
D- "72E4289" 2 15.98 15.39 15.05 15.14 14.40 14.19 14.28 13.49 13.61 13.57
D- "72E4309" 1 16.78 16.39 16.14 15.99 17.23 18.27 18.93 19.15 18.76 19.33
D- "72E4309" 2 16.11 16.28 15.91 16.44 16.98 17.95 18.98 19.15 19.57 19.54
